,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
273,Eugene,40,US,1575390187,92,44.05,-123.1,0.56,1.12
274,Kerema,95,PG,1575390326,89,-7.96,145.78,24.22,1.36
275,Fortuna,90,US,1575390328,93,40.6,-124.16,12.0,2.1
276,Charlottetown,90,CA,1575390050,100,46.23,-63.13,1.67,9.3
277,Iqaluit,75,CA,1575390332,70,63.75,-68.52,-17.0,1.5
278,Mwinilunga,100,ZM,1575390335,89,-11.73,24.43,22.96,0.44
279,Khorixas,100,NA,1575390337,13,-20.37,14.96,31.86,5.42
280,Lavrentiya,38,RU,1575390324,82,65.58,-170.99,-8.16,2.5
281,New Norfolk,43,AU,1575390341,78,-42.78,147.06,5.56,0.89
282,Balkanabat,100,TM,1575390343,75,39.51,54.36,7.93,1.1
283,Prince Rupert,75,CA,1575390152,100,54.32,-130.32,2.0,3.6
284,Pisco,90,PE,1575390347,30,-13.71,-76.2,22.0,3.6
285,Chandpur,0,BD,1575390349,53,23.22,90.65,21.75,2.8
286,Pascagoula,1,US,1575390096,49,30.37,-88.56,8.33,2.6
287,Sistranda,75,NO,1575390353,93,63.73,8.83,10.0,11.8
288,Sa Kaeo,31,TH,1575390356,65,13.8,102.09,20.48,2.93
289,Kloulklubed,90,PW,1575390358,88,7.04,134.26,27.0,2.1
290,North Bend,90,US,1575390360,87,43.41,-124.22,7.0,4.1
291,Port-Cartier,20,CA,1575390362,62,50.03,-66.88,-4.44,4.1
292,Pundaguitan,100,PH,1575390367,79,6.37,126.17,28.35,2.72
293,Camacari,40,BR,1575390205,70,-12.7,-38.32,29.0,5.7
294,Bud,75,NO,1575390372,93,62.91,6.91,8.0,5.1
295,Valparaiso,90,US,1575390282,74,41.47,-87.06,1.11,6.2
296,Lircay,40,PE,1575390376,46,-12.99,-74.72,21.0,2.1
297,Russell,1,US,1575390378,56,38.9,-98.86,8.33,4.6
298,Hambantota,90,LK,1575390380,100,6.12,81.12,25.0,4.6
299,Iquique,40,CL,1575390315,60,-20.22,-70.14,21.0,4.1
300,Vrangel,100,RU,1575390384,66,42.73,133.08,-6.38,16.05
301,Belmonte,0,PT,1575390386,64,40.36,-7.35,12.78,3.05
302,Porto Novo,90,BR,1575390389,64,-23.68,-45.44,22.0,2.1
303,Rafai,12,CF,1575390391,38,4.95,23.92,30.0,0.81
304,Cermik,100,TR,1575390393,55,38.14,39.45,3.0,2.1
305,Coquimbo,90,CL,1575390395,77,-29.95,-71.34,16.0,4.6
306,Nago,0,IT,1575390397,54,45.88,10.89,10.0,2.6
307,Soma,50,JP,1575390399,66,37.8,140.92,5.0,1.34
308,Cayenne,75,GF,1575390401,70,4.94,-52.33,30.0,7.2
309,West Wendover,1,US,1575390375,92,40.74,-114.07,-6.47,1.37
310,Amarante do Maranhao,0,BR,1575390405,35,-5.57,-46.74,38.3,0.29
311,Nuuk,75,GL,1575390407,78,64.17,-51.74,-8.0,3.1
312,Meycauayan,75,PH,1575390409,78,14.73,120.96,27.22,5.7
313,Sao Filipe,2,CV,1575390310,76,14.9,-24.5,23.64,8.44
314,Vanimo,100,PG,1575390414,79,-2.67,141.3,28.2,5.21
315,Lindi,20,TZ,1575390416,70,-10.0,39.71,29.0,5.1
316,Mehran,40,IR,1575390418,93,33.12,46.17,7.0,1.0
317,Ugoofaaru,7,MV,1575390420,81,5.67,73.0,28.14,6.31
318,Isiro,67,CD,1575390422,66,2.77,27.62,26.99,1.42
319,Karachi,100,PK,1575390224,30,24.87,67.03,20.0,4.1
320,Hovd,75,NO,1575390426,93,63.83,10.7,10.0,10.8
321,Kanker,31,IN,1575390431,56,20.27,81.49,19.31,2.4
322,Birjand,0,IR,1575390433,34,32.86,59.22,10.0,6.2
323,Nanakuli,90,US,1575390435,94,21.39,-158.15,24.0,1.5
324,Cherskiy,100,RU,1575390437,98,68.75,161.3,-26.38,2.58
325,Flagstaff,1,US,1575390226,92,35.2,-111.65,8.0,1.47
326,Koumac,90,NC,1575390441,89,-20.56,164.28,20.65,1.42
327,Koyelga,62,RU,1575390443,76,54.65,60.9,-11.29,2.68
328,Lebu,20,ET,1575390309,45,8.96,38.73,19.0,4.1
329,Skjervoy,75,NO,1575390448,86,70.03,20.97,1.0,3.6
330,Kaeo,0,NZ,1575390450,100,-35.1,173.78,13.89,2.09
331,Airai,72,TL,1575390452,96,-8.93,125.41,19.79,0.98
332,Pavlodar,100,KZ,1575390454,92,52.28,76.96,-4.0,2.0
333,Yeniseysk,59,RU,1575390456,94,58.45,92.17,-16.78,2.73
334,Pital,92,CO,1575390458,59,2.27,-75.81,21.23,1.75
335,Kosa,0,JP,1575390460,92,32.67,130.82,-2.26,1.68
336,Aden,64,YE,1575390218,61,12.79,45.03,26.44,3.67
337,Blyth,0,GB,1575390464,93,55.12,-1.5,6.11,2.6
338,Ostersund,90,SE,1575390467,93,63.18,14.64,5.0,4.1
339,Plymouth,20,GB,1575390179,81,50.37,-4.14,8.89,3.6
340,Ponta do Sol,100,BR,1575390471,85,-20.63,-46.0,21.1,2.61
341,Iaciara,98,BR,1575390473,68,-14.1,-46.63,29.14,1.27
342,Hay River,75,CA,1575390475,85,60.82,-115.79,-10.0,6.7
343,Havoysund,75,NO,1575390480,79,71.0,24.66,-1.0,7.7
344,Hengshui,0,CN,1575390482,28,37.73,115.7,2.47,1.51
345,Bonavista,98,CA,1575390484,87,48.65,-53.11,1.11,2.68
346,Laguna,20,BZ,1575390486,74,16.17,-88.94,28.0,2.1
347,Lannion,0,FR,1575390488,70,48.73,-3.46,7.22,2.1
348,Port Hedland,0,AU,1575390490,44,-20.31,118.58,27.0,4.1
349,Puerto Leguizamo,100,CO,1575390495,98,-0.19,-74.78,22.24,0.54
350,Longview,1,US,1575390497,50,32.5,-94.74,12.0,4.1
351,Charlottesville,1,US,1575390391,52,38.03,-78.48,9.44,3.1
352,Esperance,0,AU,1575390501,46,-33.86,121.89,21.0,4.6
353,Sisimiut,100,GL,1575390503,93,66.94,-53.67,-13.94,8.14
354,Mtambile,100,TZ,1575390505,74,-5.38,39.7,28.57,4.49
355,General Roca,0,AR,1575390507,22,-39.03,-67.58,21.0,4.6
356,Waipawa,0,NZ,1575390510,90,-39.94,176.59,7.98,0.82
357,Ribeirao Bonito,61,BR,1575390512,78,-22.07,-48.18,22.86,3.43
358,Northam,0,AU,1575390514,52,-31.65,116.67,21.0,2.1
359,Buinsk,100,RU,1575390516,94,54.97,48.29,-5.39,5.75
360,Capitao Poco,2,BR,1575390518,41,-1.75,-47.06,35.03,2.49
361,Gladstone,2,AU,1575390520,94,-23.84,151.26,23.0,2.1
362,Coahuayana,0,MX,1575390522,59,18.62,-100.35,24.28,0.7
363,Victoria,75,BN,1575390327,94,5.28,115.24,26.0,4.47
364,Atar,0,MR,1575390322,18,20.52,-13.05,27.72,5.47
365,Narsaq,75,GL,1575390315,44,60.91,-46.05,-7.0,3.6
366,Shingu,0,JP,1575390533,63,33.72,135.99,9.28,6.8
367,Ostrovnoy,99,RU,1575390535,94,68.05,39.51,-6.77,1.95
368,Namibe,75,AO,1575390537,69,-15.19,12.15,25.0,3.6
369,Sao Joao da Barra,90,BR,1575390539,65,-21.64,-41.05,26.0,2.6
370,Wewak,100,PG,1575390541,89,-3.55,143.63,25.64,3.74
371,Manaure,40,CO,1575390544,66,11.78,-72.45,32.0,5.1
372,Tiarei,20,PF,1575390546,69,-17.53,-149.33,27.0,3.1
